Course ID,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to Join the course,Current course ID,Old course URL,Old Course ID,Course ID,NPTEL URL
noc25-ag09,Agriculture Engineering,Soil and Water Conservation Engineering,Prof. Rajendra Singh,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG,Core,No,Integrated Soil and Water Management,https://onlinecourses.nptel.ac.in/noc25_ag09/preview,noc25_ag09,https://onlinecourses.nptel.ac.in/noc23_ag07/preview,https://onlinecourses.nptel.ac.in/noc23_ag07/preview,noc23_ag07,
noc25-ag10,Agriculture Engineering,Soil Science and Technology,Prof. Somsubhra Chakraborty,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG,Core,No,Integrated Soil and Water Management,https://onlinecourses.nptel.ac.in/noc25_ag10/preview,noc25_ag10,https://onlinecourses.nptel.ac.in/noc23_ag03/preview,https://onlinecourses.nptel.ac.in/noc23_ag03/preview,noc23_ag03,
noc25-ag11,Agriculture Engineering,Traction Engineering,Prof. Hifjur Raheman,IIT Kharagpur,IIT Kharagpur,8 Weeks,Rerun,20 01 2025,14 03 2025,22 03 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ag11/preview,noc25_ag11,https://onlinecourses.nptel.ac.in/noc24_ag04/preview,https://onlinecourses.nptel.ac.in/noc24_ag04/preview,noc24_ag04,
noc25-ag12,Agriculture Engineering,Water Quality Management Practices,Prof. Gourav Dhar Bhowmick,IIT Kharagpur,IIT Kharagpur,12 weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,Integrated Soil and Water Management,https://onlinecourses.nptel.ac.in/noc25_ag12/preview,noc25_ag12,https://onlinecourses.nptel.ac.in/noc24_ag06/preview,https://onlinecourses.nptel.ac.in/noc24_ag06/preview,noc24_ag06,
noc25-ag13,Agriculture Engineering,Watershed Hydrology,Prof. Rajendra Singh,IIT Kharagpur,IIT Kharagpur,12 weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Integrated Soil and Water Management,https://onlinecourses.nptel.ac.in/noc25_ag13/preview,noc25_ag13,https://onlinecourses.nptel.ac.in/noc24_ag05/preview,https://onlinecourses.nptel.ac.in/noc24_ag05/preview,noc24_ag05,
noc25-ce48,Applied Geophysics,Reservoir Geophysics for Hydrocarbon Exploration,Prof. Saurabh Datta Gupta,IIT-ISM Dhanbad,IIT Kharagpur,12 weeks,New,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ce48/preview,noc25_ce48,,,,
noc25-me20,Applied Mechanics,Engineering Mechanics - Statics and Dynamics,Prof. Anubhab Roy,IIT Madras,IIT Madras,8 Weeks + 4 Weeks (New),New,20 01 2025,11 04 2025,4 05 2025,27 01 2025,14 02 2025,UG,Core,No,"Structural Analysis
Structural Design",https://onlinecourses.nptel.ac.in/noc25_me20/preview,noc25_me20,,,,
noc25-cs71,Applied Statistics/Finance,Time Series Modelling and Forecasting with Applications in R,Prof. Sudeep Bapat,IIT Bombay,IIT Bombay,12 Weeks,New,20 01 2025,11 04 2025,27 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_cs71/preview,noc25_cs71,,,,
noc25-ar01,Architecture and Planning,Engineering/Architectural Graphics - Part I - Orthographic Projection,Prof. Avlokita Agrawal,IIT Roorkee,IIT Roorkee,8 Weeks,Rerun,20 01 2025,14 03 2025,22 03 2025,27 01 2025,14 02 2025,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc25_ar01/preview,noc25_ar01,https://onlinecourses.nptel.ac.in/noc24_ar01/preview,https://onlinecourses.nptel.ac.in/noc24_ar01/preview,noc24_ar01,
noc25-ar02,Architecture and Planning,Engineering/Architectural Graphics - Part II - Isometric and Axonometric Drawings,Prof. Avlokita Agrawal,IIT Roorkee,IIT Roorkee,4 Weeks,Rerun,20 01 2025,14 02 2025,22 03 2025,27 01 2025,14 02 2025,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc25_ar02/preview,noc25_ar02,https://onlinecourses.nptel.ac.in/noc24_ar02/preview,https://onlinecourses.nptel.ac.in/noc24_ar02/preview,noc24_ar02,
noc25-ar03,Architecture and Planning,Environmental Impact Assessment,Prof. Harshit Sosan Lakra,IIT Roorkee,IIT Roorkee,12 Weeks,Rerun,20 01 2025,11 04 2025,27 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,"Construction Materials Technology
Environment",https://onlinecourses.nptel.ac.in/noc25_ar03/preview,noc25_ar03,https://onlinecourses.nptel.ac.in/noc24_ar03/preview,https://onlinecourses.nptel.ac.in/noc24_ar03/preview,noc24_ar03,
noc25-ar04,Architecture and Planning,Introduction to History of Architecture in India,Prof. Pushkar Sohoni,IISER Pune,IIT Madras,4 Weeks,Rerun,20 01 2025,14 02 2025,22 03 2025,27 01 2025,14 02 2025,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc25_ar04/preview,noc25_ar04,https://onlinecourses.nptel.ac.in/noc24_ar06/preview,https://onlinecourses.nptel.ac.in/noc24_ar06/preview,noc24_ar06,
noc25-ar05,Architecture and Planning,Research Methodology for Planning and Architectural Studies,Prof. Shubhajit Sadhukhan,IIT Roorkee,IIT Roorkee,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ar05/preview,noc25_ar05,https://onlinecourses.nptel.ac.in/noc24_ar07/preview,https://onlinecourses.nptel.ac.in/noc24_ar07/preview,noc24_ar07,
noc25-ar07,Architecture and Planning,"Structure, Form and Architecture: The Synergy",Prof. Shubhajit Sadhukhan,IIT Roorkee,IIT Roorkee,8 Weeks,Rerun,20 01 2025,14 03 2025,22 03 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc25_ar07/preview,noc25_ar07,https://onlinecourses.nptel.ac.in/noc24_ar04/preview,https://onlinecourses.nptel.ac.in/noc24_ar04/preview,noc24_ar04,
noc25-ar08,Architecture and Planning,Urban Services Planning,Prof. Debapratim Pandit,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc25_ar08/preview,noc25_ar08,https://onlinecourses.nptel.ac.in/noc24_ar08/preview,https://onlinecourses.nptel.ac.in/noc24_ar08/preview,noc24_ar08,
